pathway	definition	list
map01230	Biosynthesis of amino acids	K00013|K00014|K00031|K00052|K00053|K00058|K00133|K00134|K00145|K00147|K00215|K00265|K00266|K00286|K00548|K00549|K00600|K00611|K00615|K00616|K00640|K00651|K00674|K00765|K00789|K00800|K00813|K00817|K00821|K00826|K00831|K00832|K00850|K00872|K00873|K00891|K00927|K00928|K00930|K00931|K00948|K01079|K01089|K01243|K01438|K01439|K01586|K01620|K01624|K01626|K01647|K01649|K01652|K01653|K01657|K01681|K01682|K01687|K01689|K01695|K01696|K01703|K01704|K01714|K01733|K01735|K01736|K01738|K01739|K01752|K01754|K01755|K01760|K01778|K01783|K01803|K01807|K01808|K01814|K01834|K01914|K01915|K01940|K02500|K02501|K03785|K07173|K11258|K11645|K11755|K12339|K12524|K12525|K13497|K13498|K14155|K14170|K14187|K14260|K14682|K15633|K15634|K16370
map01501	beta-Lactam resistance	K01207|K01467|K03585|K03587|K05366|K05515|K08218|K09475|K09476|K10823|K12340|K15580|K15581|K15582|K15583|K18138|K18139
map01502	Vancomycin resistance	K01000|K01775|K01921|K01929|K02563
map01503	Cationic antimicrobial peptide (CAMP) resistance	K00677|K01448|K03585|K03673|K03760|K03767|K04771|K06079|K07264|K07637|K07640|K07643|K07660|K07662|K07771|K07806|K10011|K10012|K12340|K12962|K12963|K12973|K12975|K13014|K13632|K18138|K19226|K19227|K19228|K19229|K19230|K19236|K19238
map01523	Antifolate resistance	K00287|K00297|K00560|K00600|K00602
map01524	Platinum drug resistance	K00799|K17686
map02010	ABC transporters	K01995|K01996|K01997|K01998|K01999|K02000|K02001|K02002|K02013|K02015|K02016|K02017|K02018|K02020|K02036|K02037|K02038|K02040|K02041|K02045|K02046|K02047|K02048|K02062|K02063|K02064|K02065|K02066|K02067|K02071|K02072|K02073|K02193|K02194|K02195|K02196|K02424|K05685|K05776|K05813|K05814|K05815|K05816|K05845|K05846|K05847|K06073|K06074|K06159|K06726|K06858|K06861|K07091|K07122|K07323|K09808|K09810|K09811|K09812|K09815|K09816|K09817|K09996|K09997|K09998|K09999|K10000|K10001|K10002|K10003|K10004|K10009|K10010|K10013|K10014|K10015|K10016|K10017|K10036|K10037|K10038|K10108|K10109|K10110|K10111|K10439|K10440|K10441|K10537|K10538|K10539|K10540|K10541|K10542|K10549|K10550|K10551|K10823|K10824|K10831|K11069|K11070|K11071|K11072|K11073|K11074|K11075|K11076|K11085|K11720|K12368|K12369|K12370|K12371|K12372|K13889|K13890|K13891|K13892|K13893|K13894|K13895|K13896|K15551|K15552|K15580|K15581|K15582|K15583|K15584|K15585|K15586|K15587|K16012|K16013|K18889|K18890|K19226|K19227|K19228|K19229|K19230
map02020	Two-component system	K00027|K00244|K00245|K00246|K00247|K00370|K00371|K00373|K00374|K00424|K00425|K00426|K00626|K00990|K01034|K01035|K01077|K01467|K01546|K01547|K01548|K01643|K01644|K01646|K01910|K01915|K02040|K02106|K02313|K02398|K02402|K02403|K02405|K02406|K02556|K03092|K03407|K03412|K03532|K03533|K03563|K03620|K04751|K04771|K05875|K05964|K05966|K06080|K07636|K07637|K07638|K07639|K07640|K07641|K07642|K07643|K07644|K07645|K07646|K07647|K07648|K07657|K07659|K07660|K07661|K07662|K07663|K07664|K07665|K07666|K07667|K07673|K07674|K07675|K07676|K07677|K07678|K07684|K07685|K07686|K07687|K07688|K07689|K07700|K07701|K07702|K07703|K07708|K07709|K07710|K07711|K07712|K07713|K07714|K07715|K07771|K07772|K07773|K07780|K07782|K07783|K07784|K07787|K07788|K07789|K07792|K07796|K07798|K07799|K07803|K07806|K07810|K07811|K08348|K08349|K08350|K09475|K09476|K09477|K10001|K10002|K10003|K10004|K10125|K10126|K10914|K11103|K12340|K18324|K18326|K19611
map02024	Quorum sensing	K01497|K01580|K01626|K01657|K01897|K01995|K01996|K01997|K01998|K01999|K02031|K02032|K02033|K02034|K02035|K02052|K02053|K02054|K02055|K02402|K02403|K03070|K03071|K03073|K03075|K03076|K03100|K03106|K03110|K03210|K03217|K03666|K07173|K07645|K07666|K07667|K07711|K07715|K07782|K09823|K09936|K10823|K10914|K11749|K11752|K12789|K14051|K15580|K15581|K15582|K15583|K18139|K20265
map02025	Biofilm formation - Pseudomonas aeruginosa	K01657|K02398|K02405|K03563|K03651|K07678|K07689|K10914|K21021|K21023
map02026	Biofilm formation - Escherichia coli	K00688|K00703|K00975|K01991|K02398|K02402|K02403|K02405|K02425|K02777|K03087|K03563|K03566|K03567|K04333|K04334|K04335|K04336|K04761|K05851|K06204|K07173|K07638|K07648|K07659|K07676|K07677|K07678|K07687|K07689|K07773|K07782|K10914|K14051|K18968|K21084|K21085|K21086|K21087|K21088|K21089|K21090
map02030	Bacterial chemotaxis	K02410|K02416|K02417|K02556|K02557|K03407|K03412|K05875|K10108|K10439|K10540|K12368
map02040	Flagellar assembly	K02386|K02387|K02388|K02389|K02390|K02391|K02392|K02393|K02394|K02396|K02397|K02398|K02399|K02400|K02401|K02402|K02403|K02405|K02406|K02407|K02408|K02409|K02410|K02411|K02412|K02413|K02414|K02416|K02417|K02418|K02419|K02420|K02421|K02422|K02423|K02556|K02557
map02060	Phosphotransferase system (PTS)	K02744|K02745|K02746|K02747|K02750|K02759|K02760|K02761|K02770|K02777|K02779|K02784|K02791|K02794|K02795|K02796|K02798|K02800|K02804|K02806|K02812|K02813|K02814|K02815|K02819|K02821|K02822|K03475|K08483|K08484|K08485|K10984|K10985|K10986|K11183|K11192
map03008	Ribosome biogenesis in eukaryotes	K03685|K13288
map03010	Ribosome	K02863|K02864|K02867|K02871|K02874|K02876|K02878|K02879|K02881|K02884|K02886|K02887|K02888|K02890|K02892|K02895|K02897|K02899|K02902|K02904|K02906|K02907|K02909|K02911|K02913|K02914|K02916|K02919|K02926|K02931|K02933|K02935|K02939|K02945|K02946|K02948|K02950|K02952|K02954|K02956|K02959|K02961|K02963|K02965|K02967|K02968|K02970|K02982|K02986|K02988|K02990|K02992|K02994|K02996
map03013	RNA transport	K00784|K00974|K03113
map03018	RNA degradation	K00850|K00937|K00962|K00970|K01689|K03628|K03654|K03666|K03732|K04043|K04077|K05592|K08300|K08311|K11927|K12573
map03020	RNA polymerase	K03040|K03043|K03046|K03060
map03030	DNA replication	K01972|K02314|K02316|K02335|K02337|K02338|K02339|K02340|K02341|K02342|K02343|K02344|K02345|K03111|K03469|K03470
map03060	Protein export	K03070|K03071|K03072|K03073|K03074|K03075|K03076|K03100|K03101|K03106|K03110|K03116|K03117|K03118|K03210|K03217|K03425|K13301
map03070	Bacterial secretion system	K02452|K02453|K02454|K02455|K02456|K02459|K02461|K02462|K03070|K03071|K03072|K03073|K03074|K03075|K03076|K03106|K03110|K03116|K03117|K03118|K03210|K03217|K03219|K03221|K03224|K03225|K03230|K03425|K11904|K12340|K13301
map03320	PPAR signaling pathway	K00864|K01897
map03410	Base excision repair	K01142|K01151|K01246|K01247|K01972|K02335|K03575|K03648|K03649|K05522|K07462|K10563|K10773
map03420	Nucleotide excision repair	K01972|K02335|K03657|K03701|K03702|K03703|K03723
map03430	Mismatch repair	K01141|K01972|K02337|K02338|K02339|K02340|K02341|K02342|K02343|K02344|K02345|K03111|K03555|K03572|K03573|K03601|K03602|K03657|K06223|K07462|K10857
map03440	Homologous recombination	K01159|K02317|K02335|K02337|K02338|K02339|K02340|K02341|K02342|K02343|K02344|K02345|K02686|K03111|K03550|K03551|K03553|K03581|K03582|K03583|K03584|K03629|K03655|K04066|K04067|K06187|K07462
map04013	MAPK signaling pathway - fly	K04564
map04016	MAPK signaling pathway - plant	K00940|K17686
map04066	HIF-1 signaling pathway	K00134|K01689
map04068	FoxO signaling pathway	K04564
map04070	Phosphatidylinositol signaling system	K00901|K00981|K01092
map04072	Phospholipase D signaling pathway	K00901
map04112	Cell cycle - Caulobacter	K01338|K01358|K02313|K02314|K02563|K03531|K03544|K03588|K03589|K03590|K11749
map04122	Sulfur relay system	K00566|K01011|K03148|K03151|K03154|K03635|K03636|K03637|K03639|K03831|K04085|K04487|K07235|K07236|K07237|K11179|K21028|K21029
map04141	Protein processing in endoplasmic reticulum	K04079
map04146	Peroxisome	K00031|K01897|K03426|K04564|K04565
map04151	PI3K-Akt signaling pathway	K04079
map04152	AMPK signaling pathway	K00850|K03841
map04211	Longevity regulating pathway	K04564
map04212	Longevity regulating pathway - worm	K01358|K04043|K04077|K04564
map04213	Longevity regulating pathway - multiple species	K03695|K04564|K04565
map04214	Apoptosis - fly	K03386
map04216	Ferroptosis	K00657|K01897
map04217	Necroptosis	K00688|K01915|K03767|K04079
map04612	Antigen processing and presentation	K04079
map04621	NOD-like receptor signaling pathway	K02406|K03671|K04079
map04626	Plant-pathogen interaction	K00864|K02406|K04079|K12340
map04657	IL-17 signaling pathway	K04079
map04659	Th17 cell differentiation	K04079
map04714	Thermogenesis	K01897|K02257
map04724	Glutamatergic synapse	K01425|K01915
map04727	GABAergic synapse	K01425|K01580|K01915
map04910	Insulin signaling pathway	K00688|K03841|K07192
map04914	Progesterone-mediated oocyte maturation	K04079
map04915	Estrogen signaling pathway	K04079
map04917	Prolactin signaling pathway	K00965
map04918	Thyroid hormone synthesis	K00383|K00432
map04920	Adipocytokine signaling pathway	K01897
map04922	Glucagon signaling pathway	K00016|K00688|K00873|K01834
map04930	Type II diabetes mellitus	K00873
map04931	Insulin resistance	K00688|K00820
map04934	Cushing syndrome	K01679
map04940	Type I diabetes mellitus	K01580|K04077
map04964	Proximal tubule bicarbonate reclamation	K01425
map04973	Carbohydrate digestion and absorption	K01176
map05010	Alzheimer disease	K00134
map05014	Amyotrophic lateral sclerosis (ALS)	K04565
map05016	Huntington disease	K04564|K04565
map05020	Prion diseases	K04565
map05100	Bacterial invasion of epithelial cells	K13285|K13287|K13735
map05111	Biofilm formation - Vibrio cholerae	K00640|K01791|K02405|K02452|K02453|K02454|K02455|K02456|K02459|K02461|K02462|K02472|K02777|K02779|K03087|K03092|K03557|K03563|K03666|K05851|K07173|K07678|K07689|K10914|K10938|K10939
map05120	Epithelial cell signaling in Helicobacter pylori infection	K08303
map05130	Pathogenic Escherichia coli infection	K12784|K12786|K12787|K12788|K12789|K12790
map05131	Shigellosis	K13285|K13287
map05132	Salmonella infection	K02406|K03385|K05916|K12264|K12265|K12266|K13285|K13287|K13771
map05133	Pertussis	K07345|K07347|K12340|K12973
map05134	Legionellosis	K00239|K02406|K03596|K04077
map05142	Chagas disease (American trypanosomiasis)	K01354
map05143	African trypanosomiasis	K01354
map05152	Tuberculosis	K02040|K04043|K04077
map05165	Human papillomavirus infection	K00873
map05200	Pathways in cancer	K00799|K01679|K04079
map05203	Viral carcinogenesis	K00873
map05204	Chemical carcinogenesis	K00121|K00799
map05205	Proteoglycans in cancer	K03685
map05206	MicroRNAs in cancer	K00558|K01425
map05211	Renal cell carcinoma	K01679
map05215	Prostate cancer	K04079
map05219	Bladder cancer	K00758
map05225	Hepatocellular carcinoma	K00799
map05230	Central carbon metabolism in cancer	K00036|K00850|K00873|K01425|K01834
map05231	Choline metabolism in cancer	K00901|K00968
map05340	Primary immunodeficiency	K01488|K03648
map05418	Fluid shear stress and atherosclerosis	K00799|K01940|K03671|K04079
